net,length_um
axi_slave_fsm_block.axi_awaddr_reg\[29\],155.42
_04778_,155.28
_02857_,155.16
net71,155.14
net2,155.02
_02863_,154.98
_03781_,154.34
_05140_,154.32
net80,154.06
_04908_,153.97
_03311_,153.7
_04245_,153.7
_02693_,153.66
_02577_,153.54
_04901_,153.47
_03874_,153.365
_03534_,153.26
_04907_,153.235
_04147_,152.74
_03188_,152.64
_04909_,152.57
_03875_,152.47
_04431_,152.32
_03917_,152.29
_03581_,152.26
_04565_,152.055
_04780_,152.045
_02775_,152.04
_04494_,151.43
net42,151.38
_02203_,151.36
net449,151.36
_02854_,151.1
axi_slave_fsm_block.sw_wfifo_wdata\[27\],151.1
net415,150.78
async_fifo_Writing.async_fifo\[0\]\[19\],150.76
_03695_,150.62
_04002_,150.62
_04913_,150.365
_04671_,150.36
_05358_,150.14
_02759_,150.12
axi_slave_fsm_block.axi_wdata_reg\[22\],150.06
_00068_,150
axi_slave_fsm_block.axi_awaddr_reg\[25\],149.88
_02621_,149.76
_02861_,149.6
_02645_,149.535
net529,149.38
net488,149.26
_03827_,149.02
axi_slave_fsm_block.sw_wfifo_wdata\[60\],148.84
_03127_,148.72
axi_slave_fsm_block.sw_wfifo_wdata\[0\],148.66
_04910_,148.56
_03179_,148.52
net467,148.52
_03668_,148.5
_03876_,148.42
_03785_,148.26
_03833_,148.2
_02762_,148.015
net336,147.5
apb_master_fsm_block.rfifo_ren,147.16
_02750_,147.14
_03398_,147.06
_02754_,146.89
_02862_,146.86
net434,146.58
_02858_,146.39
_04050_,146.38
_04558_,146.17
_04902_,146.14
_04100_,146
_03333_,145.96
net395,145.86
_02853_,145.82
axi_slave_fsm_block.sw_wfifo_wdata\[45\],145.82
_03832_,145.73
axi_slave_fsm_block.axi_awaddr_reg\[21\],145.58
_04665_,145.34
_03991_,145.3
_04434_,145.26
_02760_,145.23
net179,145.14
_03672_,145.06
_03115_,145.02
_02619_,144.875
_03104_,144.34
_03872_,144.14
_04220_,144.04
_02864_,143.83
apb_master_fsm_block.rfifo_data_latch\[49\],143.82
_02758_,143.81
_03711_,143.79
_03111_,143.77
_03039_,143.55
_03117_,143.37
_02243_,143.335
_05355_,143.29
_04914_,143.25
_04903_,143.105
_03533_,142.8
_04303_,142.62
_03075_,142.11
_03778_,141.92
_02761_,140.835
net13,140.74
_04664_,140.55
_03789_,140.54
_03424_,140.5
_02755_,140.32
_00081_,140.25
net598,139.84
_03576_,139.77
axi_slave_fsm_block.sw_wfifo_wdata\[59\],139.76
_04394_,139.66
_04111_,138.98
apb_master_fsm_block.m_apb_read_response\[12\],138.86
net331,138.8
_03713_,138.78
net96,138.76
_03196_,138.675
_05040_,138.3
_02859_,138.12
_03040_,137.98
axi_slave_fsm_block.sw_wfifo_wdata\[20\],137.92
_03578_,137.78
_05039_,137.53
_03287_,137.34
apb_master_fsm_block.rfifo_data_latch\[20\],137.32
_03101_,137.04
_03671_,137.01
_02647_,136.94
_02748_,136.735
apb_master_fsm_block.m_apb_read_response\[15\],136.46
net252,136.44
_03399_,136.42
_05398_,136.38
_03820_,136.26
_04775_,136.14
_05400_,136.12
_05408_,135.96
apb_master_fsm_block.m_apb_read_response\[10\],135.95
net595,135.9
axi_slave_fsm_block.sw_wfifo_wdata\[17\],135.88
axi_slave_fsm_block.sw_wfifo_wdata\[32\],135.7
_04380_,135.68
_03169_,135.56
_02649_,135.535
_04416_,135.5
axi_slave_fsm_block.sw_wfifo_wdata\[33\],134.98
_03772_,134.06
_03173_,134.05
net245,133.86
_02793_,133.84
net486,133.78
_04657_,133.72
_02867_,133.57
_03139_,133.285
_03492_,133.17
_03715_,132.94
_03198_,132.9
net464,132.67
_03953_,132.64
axi_slave_fsm_block.sw_curr_state\[1\],132.5
net496,132.49
_02653_,132.435
_04782_,132.415
_04566_,132.28
clknet_leaf_47_s_axi_aclk,132.18
net324,131.8
net1445,131.28
_03109_,131.26
net454,131.23
clknet_leaf_97_s_axi_aclk,131.16
net501,131.11
net150,131.04
net593,130.875
_03354_,130.82
net574,130.82
net532,130.72
clknet_3_6_0_s_axi_aclk,130.67
_03177_,130.3
clknet_3_0_0_s_axi_aclk,129.76
net592,129.69
_03797_,129.1
_04317_,128.9
_02651_,128.75
clknet_leaf_158_s_axi_aclk,128.5
net224,128.48
_02457_,128.39
_03073_,128.34
net549,128.325
_02617_,128.24
_02868_,127.93
apb_master_fsm_block.m_apb_read_response\[18\],127.84
net576,127.78
_03206_,127.715
net103,127.645
net535,127.56
net447,127.55
_03065_,127.46
_02635_,127.37
_03017_,127.37
_03202_,126.975
net591,126.9
_03716_,126.86
_04267_,126.78
axi_slave_fsm_block.sw_wfifo_wdata\[11\],126.72
_03444_,126.5
_04783_,126.49
_03776_,126.48
_04896_,126.38
_02811_,126.12
net570,125.86
_03167_,125.78
clknet_3_4_0_s_axi_aclk,125.75
_03261_,125.34
clknet_3_3_0_s_axi_aclk,125.29
_04504_,125.245
clknet_leaf_41_s_axi_aclk,125.125
_03443_,125.1
_04784_,124.89
_03309_,124.7
_04921_,124.36
_03192_,124.32
apb_master_fsm_block.rfifo_data_latch\[45\],123.9
axi_slave_fsm_block.sw_wfifo_wdata\[12\],123.7
axi_slave_fsm_block.sw_wfifo_wdata\[35\],123.7
net506,123.61
async_fifo_Writing.async_fifo\[9\]\[19\],123.29
_04539_,123.045
_03123_,122.94
axi_slave_fsm_block.sw_wfifo_wdata\[7\],122.88
net541,122.74
_03137_,122.66
net69,122.52
_03717_,122.24
_02249_,122.015
net476,121.95
clknet_3_5_0_s_axi_aclk,121.89
_04013_,121.8
_04281_,121.715
net36,121.62
_03964_,121.61
net169,121.52
net220,121.52
_03445_,121.46
net35,121.3
async_fifo_Writing.async_fifo\[7\]\[19\],121.25
_03714_,121.16
_04518_,120.94
_03793_,120.86
_03310_,120.66
_04777_,120.6
clknet_leaf_63_s_axi_aclk,120.54
net52,120.34
clknet_3_2_0_s_axi_aclk,120.28
_03783_,120.2
_05388_,120.16
_03194_,120.14
_03822_,120.12
net429,120.09
net192,120.08
_02637_,119.96
_03140_,119.91
net511,119.82
_02477_,119.66
net386,119.62
net588,119.56
net431,119.55
_03027_,119.15
_04292_,119.1
net544,119.03
net9,119
clknet_leaf_21_s_axi_aclk,118.94
_05394_,118.92
net547,118.9
_03262_,118.58
clknet_3_1_0_s_axi_aclk,118.58
_05362_,118.56
_04437_,118.54
_03138_,118.34
axi_slave_fsm_block.sw_wfifo_wdata\[5\],118.3
_03055_,118.2
clknet_leaf_36_s_axi_aclk,118.2
_03052_,117.51
axi_slave_fsm_block.sw_wfifo_wdata\[30\],117.16
_03791_,117.14
_02870_,117
axi_slave_fsm_block.axi_awaddr_reg\[26\],117
net564,117
clknet_leaf_165_s_axi_aclk,116.75
axi_slave_fsm_block.axi_awaddr_reg\[2\],116.48
_04507_,116.41
clknet_leaf_9_s_axi_aclk,116.38
_03488_,116.04
_04920_,115.84
axi_slave_fsm_block.axi_awaddr_reg\[20\],115.52
_02869_,115.48
_03200_,115.48
clknet_leaf_101_s_axi_aclk,115.395
apb_master_fsm_block.m_apb_read_response\[7\],115.32
net688,115.24
clknet_leaf_98_s_axi_aclk,114.98
_03353_,114.88
_03013_,114.76
_03446_,114.74
net193,114.68
net37,114.4
clknet_leaf_154_s_axi_aclk,114.4
net521,114.34
apb_master_fsm_block.m_apb_read_response\[5\],114.29
net523,114.26
clknet_leaf_54_s_axi_aclk,114.255
_03028_,114.19
_03263_,114.12
axi_slave_fsm_block.sr_wfifo_wdata\[43\],114.11
net445,114.035
axi_slave_fsm_block.sr_wfifo_wen,113.88
apb_master_fsm_block.m_apb_read_response\[23\],113.74
net601,113.74
net577,113.64
_04791_,113.56
_04781_,113.55
net575,113.46
_04543_,113.44
_03489_,113.4
axi_slave_fsm_block.sw_wfifo_wdata\[28\],113.32
net452,113.32
net461,113.31
net474,113.21
net254,112.9
_03349_,112.84
net147,112.83
net555,112.81
apb_master_fsm_block.m_apb_read_response\[16\],112.76
_02752_,112.645
net2043,112.64
net437,112.515
_02871_,112.47
_03530_,112.24
net674,112.14
_03214_,111.96
net536,111.96
